                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.0235,                0.72104,                 0.9413,                 0.1013,                0.10995,                0.08416,                0.04233,                 1.5858,                 1.4238,                   1.18,             0.00015631,             0.00015631,             0.00015631
                    123,                 1.0225,                0.71939,                0.94071,                0.10132,                0.13501,                0.08669,                0.04394,                 1.6031,                 1.3977,                 1.1914,              0.0001544,              0.0001544,              0.0001544
                    124,                 1.0124,                0.71489,                0.93853,                0.10531,                0.12561,                0.08584,                0.04131,                 1.5878,                 1.3852,                 1.1781,              0.0001525,              0.0001525,              0.0001525
                    125,                 1.0299,                0.72601,                0.94322,                0.10352,                0.11467,                0.08381,                0.04378,                  1.589,                 1.4069,                 1.1801,             0.00015059,             0.00015059,             0.00015059
                    126,                 1.0233,                0.72181,                 0.9397,                0.08365,                0.10113,                0.07768,                0.04004,                 1.5949,                 1.4387,                 1.1803,             0.00014869,             0.00014869,             0.00014869
                    127,                 1.0139,                0.71908,                0.93638,                0.12005,                0.10742,                0.08268,                0.04051,                 1.5863,                 1.4601,                 1.1795,             0.00014678,             0.00014678,             0.00014678
                    128,                 1.0262,                0.72398,                0.94127,                0.44474,                0.07116,                0.07584,                0.03889,                 1.5969,                  1.444,                  1.184,             0.00014488,             0.00014488,             0.00014488
                    129,                 1.0224,                0.72268,                0.93939,                0.10105,                0.12152,                0.07923,                0.03925,                 1.6042,                 1.4136,                 1.1891,             0.00014297,             0.00014297,             0.00014297
                    130,                 1.0202,                0.72133,                0.93991,                0.16544,                 0.0987,                0.08281,                0.04307,                 1.6011,                 1.3865,                 1.1886,             0.00014106,             0.00014106,             0.00014106
                    131,                  1.014,                0.71364,                 0.9348,                0.12126,                0.10628,                0.08478,                0.04254,                 1.5996,                 1.4029,                 1.1897,             0.00013916,             0.00013916,             0.00013916
                    132,                 1.0134,                0.71628,                0.93907,                0.07765,                0.10634,                0.08151,                0.04188,                 1.6017,                 1.4106,                 1.1814,             0.00013725,             0.00013725,             0.00013725
                    133,                 1.0115,                0.71141,                0.93853,                0.10509,                0.12305,                0.08458,                0.04176,                 1.6042,                 1.4136,                  1.184,             0.00013535,             0.00013535,             0.00013535
                    134,                 1.0147,                0.71297,                0.93805,                0.12278,                0.11217,                 0.0854,                 0.0427,                 1.6001,                 1.4236,                 1.1846,             0.00013344,             0.00013344,             0.00013344
                    135,                  1.016,                 0.7135,                0.93696,                0.10826,                0.12067,                0.08297,                0.04222,                 1.5919,                 1.3842,                  1.188,             0.00013154,             0.00013154,             0.00013154
                    136,                 1.0202,                0.71737,                0.93593,                0.11772,                0.11839,                0.08369,                0.04171,                 1.5988,                 1.4064,                 1.1893,             0.00012963,             0.00012963,             0.00012963
